city,local_time,temperature
Montréal *,Thu 12:36 am,66 °F
Yangon,Thu 11:06 am,84 °F
Doha,Thu 7:36 am,90 °F
Moscow,Thu 7:36 am,56 °F
Zagreb *,Thu 6:36 am,63 °F
Dubai,Thu 8:36 am,95 °F
Mumbai,Thu 10:06 am,88 °F
Zürich *,Thu 6:36 am,59 °F
Dublin *,Thu 5:36 am,59 °F
Nairobi,Thu 7:36 am,57 °F
